no2,co,so2,o3,pm10,pm25
1.18,0.0726,0.25,32.7,18.94,12.84
2.19,0.0723,0.29,33.24,32.41,22.15
1.7,0.0746,0.31,32.27,33.68,22.48
1.56,0.0739,0.3,31.77,20.94,14.06
1.22,0.082,0.31,33.58,19.43,12.74
1.28,0.0827,0.31,34.4,22.4,14.4
1.36,0.0856,0.32,35.02,15.45,10.55
1.63,0.0772,0.26,34.21,16.93,11.69
1.77,0.0741,0.3,33.69,26.46,17.94
1.95,0.0729,0.34,32.71,28.81,19.94
2.17,0.0731,0.29,32.96,35.18,24.7
2.45,0.0735,0.28,33.74,31.55,22.36
2.16,0.0727,0.3,33.42,29.03,20.45
1.22,0.0743,0.29,32.01,15.78,10.65
1.04,0.0775,0.24,29.57,19.69,12.6
0.91,0.0806,0.23,32.17,15.0,9.85
1.15,0.0823,0.26,33.84,18.17,12.06
1.58,0.085,0.25,35.18,22.47,15.28
1.67,0.0763,0.28,34.92,19.67,13.63
1.64,0.08,0.33,33.65,14.44,10.13
1.65,0.0766,0.26,33.62,18.06,12.76
1.57,0.0761,0.2,32.25,26.23,18.54
1.62,0.0755,0.28,30.75,24.77,17.3
1.65,0.0997,0.25,31.77,27.78,19.1
1.47,0.091,0.29,37.58,18.48,12.61
1.51,0.0742,0.28,35.93,19.85,13.7
2.1,0.076,0.29,29.34,17.22,12.13
1.57,0.07,0.24,30.03,21.66,15.02
1.36,0.0813,0.24,35.86,20.48,13.59
1.32,0.0851,0.23,36.22,19.55,12.91
1.57,0.0838,0.24,35.12,21.41,14.6
1.3,0.0854,0.23,34.39,21.56,14.39
1.15,0.0821,0.24,33.24,16.55,11.11
1.11,0.0843,0.22,34.72,18.73,12.16
1.02,0.0918,0.21,35.82,17.94,11.75
1.06,0.0862,0.23,35.63,12.76,8.58
1.05,0.0765,0.28,36.11,14.78,9.85
1.13,0.0792,0.29,35.85,15.26,10.25
1.16,0.0775,0.28,35.13,14.03,9.61
1.16,0.0754,0.31,32.08,17.11,11.47
1.36,0.0717,0.3,32.51,20.05,13.39
1.45,0.0775,0.31,33.0,16.55,11.24
1.16,0.0799,0.24,34.34,19.49,12.72
1.01,0.0744,0.23,34.37,22.97,14.23
1.2,0.0746,0.23,33.96,20.58,13.09
1.42,0.0737,0.25,34.52,21.12,13.85
1.63,0.0723,0.32,34.36,18.38,12.59
1.63,0.0722,0.27,33.46,19.72,13.63
1.86,0.0775,0.23,33.84,21.9,15.03
1.35,0.0755,0.26,34.77,24.76,16.77
1.22,0.0829,0.27,35.39,22.4,14.86
1.22,0.0891,0.26,36.79,19.08,12.67
1.36,0.0955,0.25,38.08,26.77,17.77
1.44,0.0887,0.25,37.01,22.98,15.58
1.42,0.0824,0.22,35.53,16.41,11.44
1.38,0.0837,0.22,34.87,27.3,18.59
1.3,0.0806,0.25,35.68,18.96,12.97
1.63,0.0778,0.27,36.31,25.45,17.32
1.85,0.0791,0.27,35.55,24.53,17.0
2.05,0.08,0.28,34.36,27.93,19.45
2.02,0.0798,0.27,34.64,24.16,16.88
1.43,0.0681,0.29,33.74,16.64,11.55
1.47,0.0695,0.32,33.43,13.21,9.3
1.71,0.0685,0.29,32.51,23.55,16.44
2.02,0.0709,0.38,30.8,24.02,16.55
1.7,0.075,0.27,31.13,20.91,14.23
1.59,0.0854,0.25,33.0,24.24,16.43
1.14,0.1058,0.2,37.01,20.89,13.81
1.04,0.105,0.22,39.06,29.32,19.51
1.2,0.0944,0.24,39.17,24.63,16.2
1.15,0.0978,0.22,39.23,22.29,14.42
1.06,0.0893,0.24,39.84,19.96,12.87
1.33,0.0862,0.24,39.59,20.64,13.61
1.59,0.0824,0.25,38.54,22.81,15.04
1.58,0.0836,0.3,37.95,17.14,11.58
1.71,0.0766,0.31,36.71,21.83,14.74
1.49,0.075,0.26,35.83,19.38,12.83
1.6,0.0718,0.3,36.07,18.8,12.69
1.59,0.0745,0.32,35.26,15.53,10.71
1.32,0.0688,0.27,37.2,17.36,11.55
1.45,0.0713,0.28,36.88,16.88,11.4
1.63,0.0706,0.27,36.6,19.55,13.07
1.47,0.0675,0.25,35.6,19.82,13.27
1.64,0.0656,0.27,33.69,19.12,12.93
1.56,0.0654,0.24,33.56,23.44,15.98
1.37,0.065,0.24,33.08,18.48,12.38
1.76,0.0672,0.28,33.41,16.37,11.22
1.84,0.0696,0.26,33.67,20.24,14.1
2.0,0.0663,0.37,33.66,22.98,15.94
1.8,0.0682,0.29,35.74,26.89,18.38
2.02,0.0682,0.23,35.52,27.4,19.16
2.15,0.0671,0.28,35.37,33.88,23.91
1.97,0.0675,0.28,35.3,28.0,19.88
2.25,0.0687,0.39,33.94,35.29,25.13
1.95,0.0661,0.26,32.96,36.47,25.87
1.92,0.0674,0.31,33.9,27.03,19.0
2.08,0.0694,0.32,33.13,31.79,22.24
2.02,0.0691,0.32,31.08,23.96,16.93
1.83,0.069,0.3,33.41,28.08,19.52
1.45,0.0684,0.29,33.29,15.81,10.88
1.57,0.0703,0.33,33.08,19.31,13.22
1.67,0.0721,0.35,34.42,18.7,12.97
2.61,0.0709,0.34,34.16,30.94,21.99
2.22,0.07,0.29,36.81,45.8,32.49
1.99,0.0689,0.31,34.5,27.85,19.5
1.96,0.0732,0.27,35.56,30.08,20.99
1.19,0.0663,0.25,35.26,20.54,14.4
1.59,0.0713,0.2,32.68,26.61,18.69
1.41,0.0755,0.51,31.79,23.34,16.46
1.58,0.0677,0.25,30.16,28.31,19.85
1.74,0.0632,0.22,29.52,32.45,22.73
1.85,0.0668,0.34,29.53,29.46,20.47
1.29,0.0662,0.34,30.16,19.1,13.22
1.21,0.0678,0.31,32.28,27.29,18.77
1.4,0.069,0.35,34.48,32.65,22.36
1.31,0.067,0.32,35.61,20.26,13.89
1.52,0.0676,0.27,35.66,19.97,14.02
1.72,0.0674,0.26,35.92,27.89,19.59
