tave,pr,wind_speed,rh,solar_rad
26.41,0.0,1.77,80.79,196.89
26.48,0.0,3.47,74.82,227.34
26.45,0.0,2.84,76.79,214.25
26.56,0.0,2.17,78.23,225.61
26.51,0.0,2.46,77.72,199.26
25.28,20.32,2.77,83.61,100.36
26.16,0.0,1.68,81.36,153.01
26.22,0.0,2.79,81.95,142.94
26.93,0.0,3.04,74.89,254.69
25.83,0.0,2.02,81.48,144.13
26.53,7.34,1.83,77.69,235.75
25.61,0.0,2.28,76.24,175.77
26.53,0.0,2.41,76.16,226.63
26.47,0.0,3.4,77.75,231.98
26.13,0.0,3.72,75.06,191.45
25.5,0.0,4.41,81.9,168.76
25.38,0.0,4.7,81.82,165.23
25.97,0.0,4.48,79.18,188.58
26.44,0.0,3.94,78.83,191.75
26.21,0.0,2.27,81.25,195.28
26.28,0.0,1.71,81.63,220.66
26.27,0.0,0.49,83.31,188.61
26.01,39.93,0.63,85.05,175.21
25.9,0.0,1.23,84.27,190.0
26.34,0.0,4.08,79.27,219.58
26.37,0.0,2.07,79.92,199.16
26.09,0.0,0.97,84.65,156.01
26.33,0.0,0.9,84.34,217.79
26.58,0.0,3.33,79.75,235.99
26.01,0.0,3.58,81.14,237.0
25.93,0.0,3.19,81.88,226.01
26.52,0.0,2.77,79.76,242.56
25.8,18.49,3.62,83.08,174.83
25.21,0.0,4.61,82.65,96.35
25.49,18.49,4.88,79.78,173.96
24.75,0.0,4.91,85.85,91.38
25.43,0.0,4.24,81.2,194.65
25.42,0.0,2.96,82.25,181.84
26.27,0.0,1.82,80.34,237.78
26.32,0.0,1.71,82.66,212.39
25.42,0.0,1.53,87.19,141.44
26.15,0.0,2.8,70.4,284.03
26.24,0.0,2.21,72.68,268.59
26.35,0.0,2.51,80.95,228.58
26.59,0.0,3.4,76.33,260.87
26.1,0.0,2.19,79.3,242.68
26.25,0.0,2.37,79.34,251.79
26.58,0.0,2.32,75.84,260.93
26.66,0.0,2.45,72.06,280.96
25.2,0.0,3.8,79.37,58.97
25.13,0.0,3.08,83.18,67.33
25.69,0.0,2.87,79.52,232.14
26.17,0.0,3.37,77.95,235.92
25.85,53.85,3.29,80.06,201.72
25.68,17.95,4.84,74.44,177.24
26.01,0.0,4.2,70.57,243.57
25.81,0.0,3.33,77.62,165.71
26.38,0.0,2.64,77.2,246.82
26.08,0.0,3.61,77.16,215.81
26.35,0.0,2.01,73.58,246.73
27.02,0.0,2.03,74.2,256.85
27.19,0.0,1.21,78.97,230.99
26.62,0.0,0.63,84.53,232.63
26.55,0.0,1.04,82.63,228.84
26.73,0.0,1.16,80.88,236.35
26.61,0.0,1.0,82.33,239.6
27.02,0.0,1.59,77.29,265.07
26.64,0.0,3.63,74.12,269.88
25.96,0.0,5.27,75.09,239.63
26.19,0.0,6.07,67.92,254.39
26.4,0.0,5.18,68.49,297.48
25.73,0.0,4.14,75.7,170.17
25.66,0.0,3.83,79.45,160.51
24.8,0.0,1.39,87.11,151.07
26.1,0.0,1.31,79.5,249.24
26.91,0.0,2.06,73.75,272.58
26.78,46.62,1.26,79.66,248.11
25.93,20.05,1.92,81.83,160.04
25.95,0.0,0.7,81.7,160.86
26.57,0.0,1.79,78.96,248.99
26.02,0.0,2.75,78.76,157.53
26.77,0.0,3.18,77.8,251.64
26.69,0.0,2.2,78.15,237.93
26.08,0.0,3.67,81.09,188.52
26.28,0.0,2.51,80.72,235.23
26.0,0.0,1.81,82.54,175.18
25.7,0.0,1.08,84.61,167.84
26.0,0.0,1.19,83.47,127.87
26.57,0.0,1.15,80.72,228.49
26.68,0.0,2.01,78.2,253.52
26.74,0.0,1.92,74.96,239.07
27.05,0.0,0.97,79.75,263.42
27.19,0.0,1.33,79.9,264.52
27.27,0.0,1.28,80.71,250.19
27.35,0.0,1.03,76.02,300.28
27.4,0.0,1.36,79.31,254.08
27.74,0.0,2.0,74.88,286.49
27.52,0.0,0.99,76.36,279.62
27.38,0.0,0.73,75.39,295.32
27.6,0.0,1.51,73.07,263.85
27.76,0.0,1.3,75.31,293.14
27.76,0.0,1.53,75.36,268.93
27.43,0.0,1.17,74.36,283.82
27.8,0.0,1.12,75.87,295.46
27.73,0.0,1.38,74.05,267.9
28.03,0.0,1.35,73.63,276.67
27.67,0.0,0.9,78.01,255.76
27.69,8.57,0.43,81.19,292.1
27.73,0.0,1.38,81.31,304.03
27.64,22.51,0.8,81.82,284.41
27.35,0.0,1.36,83.17,256.49
27.47,0.0,1.69,82.07,260.05
27.68,0.0,0.99,78.45,257.07
27.51,30.9,0.68,79.82,241.1
27.83,15.45,0.63,75.92,242.0
27.66,0.0,0.91,77.44,278.45
28.03,0.0,1.65,75.05,259.66
28.26,0.0,2.21,74.28,266.1
27.89,14.25,1.16,78.67,252.62
27.68,16.28,1.32,82.6,271.58
27.25,16.97,1.53,84.26,195.54
26.9,16.97,1.02,86.35,208.01
26.97,16.97,0.75,85.3,238.28
26.95,0.0,0.56,85.69,228.43
27.31,0.0,1.41,84.05,245.57
27.0,14.71,1.6,84.23,216.94
26.9,0.0,1.87,86.17,214.02
27.46,0.0,0.41,81.42,232.35
26.6,29.42,0.51,85.38,159.9
26.34,7.35,0.86,85.63,112.01
25.79,12.53,1.55,88.35,50.22
26.7,0.0,2.4,82.65,206.8
26.55,12.53,1.35,82.7,151.51
26.68,12.53,0.35,83.62,189.58
26.66,14.32,0.46,85.4,154.68
26.55,27.28,1.1,85.98,141.33
25.37,31.18,2.48,89.01,27.32
26.13,36.38,2.08,83.83,100.9
27.16,18.19,0.16,82.16,180.05
27.29,18.19,0.12,81.54,195.25
27.79,0.0,0.51,79.98,209.41
28.02,6.41,0.42,76.29,224.13
28.14,19.23,0.45,75.07,238.62
28.06,6.41,0.65,78.94,250.91
28.01,6.41,1.3,79.39,266.73
28.02,0.0,1.92,78.84,266.83
27.82,0.0,2.7,80.34,262.27
27.5,0.0,3.09,83.1,250.24
27.32,0.0,2.88,84.5,267.05
27.16,0.0,2.85,83.99,271.44
27.27,0.0,2.72,82.84,283.39
26.82,0.0,2.58,86.08,257.54
27.04,0.0,2.71,83.68,275.51
27.17,0.0,3.03,82.41,249.14
27.27,0.0,2.48,80.56,237.62
27.28,0.0,1.47,79.87,235.63
27.34,0.0,1.34,79.61,259.93
27.46,0.0,1.28,78.13,249.1
27.07,5.06,1.39,80.27,213.08
26.88,0.0,0.83,80.91,223.97
26.5,5.06,0.54,83.36,203.0
26.46,13.5,0.38,83.08,189.69
26.17,13.5,0.6,84.74,209.75
26.09,13.5,1.09,82.32,80.69
26.51,6.75,1.06,82.25,167.47
26.6,0.0,2.31,80.84,184.42
26.23,0.0,3.25,86.68,176.05
26.34,7.67,2.24,86.68,194.52
26.54,0.0,1.83,83.51,231.21
26.61,0.0,1.34,83.6,245.47
26.42,7.67,1.31,84.86,234.46
25.75,16.14,0.94,84.83,190.76
25.6,0.0,2.17,88.29,136.27
25.99,5.38,1.69,86.74,143.91
25.94,16.14,0.48,83.72,194.63
26.24,0.0,0.6,83.52,240.25
25.67,5.5,1.27,87.28,198.3
25.85,22.0,1.01,85.49,166.67
25.57,0.0,1.53,86.02,67.58
26.22,5.5,0.61,80.02,184.03
26.55,0.0,0.43,81.43,229.61
26.19,4.61,0.32,83.97,147.13
26.21,0.0,0.77,83.35,192.31
26.34,0.0,2.1,83.37,227.03
26.08,0.0,1.51,83.97,182.99
26.07,9.22,0.68,81.9,186.9
25.61,8.73,0.84,86.07,147.71
25.93,17.46,0.61,85.25,160.08
26.23,26.19,0.86,82.74,185.49
26.56,0.0,0.28,79.79,205.36
26.55,8.73,0.3,81.93,192.39
27.05,8.29,0.77,80.29,212.61
26.11,2.76,0.48,84.48,188.86
