no2,co,so2,o3,pm10,pm25
2.18,0.0684,0.38,33.55,22.73,15.94
1.94,0.0684,0.25,31.4,18.81,13.16
1.89,0.0676,0.37,28.94,17.74,12.36
2.19,0.0689,0.33,29.76,26.35,18.04
1.92,0.0683,0.33,30.76,21.06,14.26
1.49,0.0668,0.36,30.41,21.12,14.0
1.8,0.0659,0.37,30.71,22.06,14.87
1.87,0.0697,0.42,33.91,24.8,16.78
1.35,0.0847,0.33,36.08,20.21,13.59
1.72,0.0818,0.35,36.3,24.99,17.13
2.06,0.072,0.41,34.42,24.72,16.77
2.33,0.0719,0.48,33.88,22.07,15.1
1.61,0.0681,0.37,32.36,25.47,17.16
1.32,0.0677,0.33,32.45,14.2,9.41
1.8,0.0714,0.33,32.26,17.58,12.04
1.47,0.0744,0.28,31.96,16.82,11.6
1.67,0.0706,0.31,32.43,23.69,16.12
1.87,0.0725,0.36,30.36,22.06,14.97
1.67,0.0704,0.45,32.6,19.39,13.04
1.96,0.0688,0.36,31.84,22.37,15.09
1.76,0.0712,0.31,33.84,21.63,14.55
1.95,0.0688,0.38,33.9,17.13,11.63
1.71,0.0706,0.38,34.19,19.98,13.34
1.61,0.069,0.42,33.86,25.49,17.14
1.94,0.0715,0.57,32.91,21.38,14.67
2.09,0.0674,0.45,31.66,18.14,12.6
1.91,0.0687,0.43,30.1,24.61,17.01
1.83,0.0751,0.43,32.84,20.72,14.07
1.98,0.0845,0.38,37.63,23.35,15.77
1.65,0.0906,0.28,39.08,19.42,13.15
2.01,0.0893,0.31,38.94,27.3,18.54
2.1,0.084,0.34,38.17,26.7,18.12
1.65,0.0796,0.39,36.95,24.1,16.23
1.45,0.0731,0.34,35.78,19.14,13.12
1.58,0.0749,0.3,33.42,24.93,17.17
1.45,0.0807,0.32,32.01,17.85,12.48
1.72,0.0781,0.44,32.53,12.4,8.7
1.3,0.0941,0.38,37.1,26.05,17.6
1.92,0.1026,0.34,39.03,23.05,15.85
2.32,0.1096,0.44,36.65,24.34,17.1
2.01,0.1102,0.4,35.87,27.95,19.65
2.26,0.101,0.58,36.89,35.1,24.51
1.77,0.0733,0.33,36.08,21.27,14.71
1.87,0.0702,0.25,34.1,20.68,14.4
1.87,0.0672,0.28,33.22,25.42,17.68
1.61,0.0695,0.29,31.02,14.98,10.52
2.04,0.0732,0.44,29.78,16.96,11.88
2.15,0.0775,0.48,30.77,21.08,14.58
1.81,0.0768,0.39,35.05,20.6,14.0
1.65,0.0801,0.34,37.0,13.86,9.49
1.89,0.0816,0.42,36.06,17.63,12.15
2.17,0.0783,0.35,34.39,18.0,12.62
2.05,0.0742,0.36,34.44,22.53,15.62
1.84,0.075,0.3,36.48,28.38,18.98
1.83,0.0715,0.34,38.62,21.7,14.75
1.45,0.0705,0.33,36.13,17.47,11.78
1.82,0.0712,0.41,31.52,19.86,13.57
2.0,0.0701,0.41,32.83,20.99,14.36
2.11,0.0709,0.43,32.96,26.73,18.21
1.96,0.0718,0.47,33.11,26.5,18.03
1.89,0.0748,0.37,33.24,26.21,17.77
2.2,0.0724,0.31,32.64,22.85,15.78
1.66,0.073,0.44,33.63,23.96,16.2
1.58,0.0675,0.38,37.02,18.01,12.31
2.07,0.071,0.34,34.94,22.68,15.44
1.97,0.0702,0.29,34.63,28.45,18.79
1.77,0.0747,0.33,37.18,26.46,17.79
1.91,0.0785,0.32,37.57,24.44,16.86
1.74,0.0786,0.33,37.92,21.62,14.9
1.97,0.075,0.32,37.48,25.52,17.51
1.63,0.0748,0.4,38.05,18.43,12.81
1.49,0.0757,0.39,39.35,20.79,13.9
1.88,0.0817,0.31,41.56,22.17,14.79
2.25,0.0796,0.33,42.82,31.09,21.25
2.07,0.074,0.47,39.92,38.04,26.39
1.42,0.074,0.47,37.95,21.95,14.86
1.47,0.0717,0.34,36.29,21.04,13.96
1.96,0.0768,0.34,33.37,26.73,18.02
1.63,0.0732,0.37,33.31,22.27,14.94
1.79,0.0722,0.39,31.33,24.03,16.29
1.42,0.0737,0.37,31.74,13.91,9.56
1.51,0.0725,0.37,32.53,20.63,14.05
1.46,0.0724,0.29,33.13,21.35,14.38
1.54,0.0762,0.32,38.17,20.9,14.03
1.53,0.0838,0.3,39.42,19.56,13.22
1.75,0.0927,0.34,37.97,50.08,35.02
2.3,0.101,0.7,37.14,59.79,42.66
2.52,0.1025,0.63,37.59,32.74,23.36
2.27,0.1001,0.51,35.94,43.32,30.95
1.94,0.0959,0.48,34.34,53.52,38.04
1.52,0.086,0.38,34.24,23.97,16.94
1.78,0.0912,0.43,33.03,31.85,22.39
1.7,0.0945,0.4,32.97,41.04,29.03
1.0,0.0858,0.4,33.98,34.33,24.07
0.91,0.078,0.32,34.99,33.99,23.67
1.16,0.0798,0.4,35.6,20.82,14.81
1.13,0.0813,0.43,34.65,21.2,14.93
0.72,0.0785,0.26,34.1,17.87,12.53
0.87,0.0733,0.23,32.26,17.52,12.11
0.91,0.0666,0.37,30.68,23.55,15.96
0.99,0.0658,0.33,29.07,17.84,11.71
1.02,0.0752,0.36,32.64,16.69,11.28
1.06,0.0802,0.35,34.06,19.17,13.16
0.93,0.0717,0.36,34.15,14.01,9.25
0.79,0.0676,0.29,33.2,17.58,10.88
1.23,0.0641,0.34,34.54,18.62,12.18
1.17,0.0662,0.35,34.86,20.94,13.92
1.43,0.064,0.3,32.53,24.4,16.55
