tave,pr,wind_speed,rh,solar_rad
26.08,7.35,1.56,82.56,78.62
26.16,0.0,2.81,86.12,165.86
26.65,0.0,0.36,82.75,199.85
26.56,3.67,1.33,80.25,223.21
26.6,11.02,0.76,78.99,199.03
26.16,5.98,1.0,84.0,175.57
26.38,2.99,0.14,81.36,194.05
25.74,2.99,2.5,84.72,72.1
25.84,11.97,3.2,81.51,142.57
26.42,0.0,2.92,79.45,206.02
26.71,0.0,1.5,80.57,214.87
26.77,0.0,1.78,78.97,195.85
26.45,11.41,2.62,80.21,168.62
25.15,30.41,2.43,85.62,85.87
25.3,11.41,2.52,80.71,71.91
25.88,1.99,1.74,80.56,161.39
26.15,0.0,0.6,81.66,169.52
25.52,7.98,1.32,83.25,155.72
26.03,0.0,1.9,77.97,232.4
26.36,1.99,2.34,81.83,144.94
26.0,5.55,3.86,78.66,119.34
25.44,8.45,3.72,81.36,62.47
26.02,3.7,2.26,75.78,181.56
26.58,0.0,1.11,78.76,211.04
26.62,0.0,1.2,81.64,220.59
26.94,0.0,1.33,81.06,214.15
26.69,0.0,1.35,79.9,197.94
26.74,0.0,2.04,77.16,232.01
26.71,6.51,2.46,79.92,202.68
26.93,0.0,4.24,71.45,263.27
25.73,9.76,3.71,74.69,126.37
26.99,0.0,2.67,71.56,220.94
26.36,6.93,1.31,82.24,164.41
26.23,6.07,0.34,82.37,166.69
27.09,0.0,0.32,79.2,244.25
27.08,12.13,0.59,80.95,235.82
26.91,25.67,1.3,82.47,228.89
26.7,9.78,2.29,81.16,103.31
27.16,0.0,0.95,78.31,240.12
27.37,0.0,0.45,79.48,192.4
27.06,0.0,0.49,79.29,254.73
27.13,7.73,1.6,77.59,242.7
26.45,7.73,3.0,81.35,139.62
26.95,0.0,1.2,80.61,196.08
26.31,7.73,2.04,86.64,165.93
26.88,0.0,1.38,84.37,214.47
27.16,0.0,0.87,81.34,249.48
26.83,0.0,1.42,77.87,217.56
26.57,7.74,3.54,78.83,183.09
26.71,0.0,1.83,77.42,230.59
26.85,0.0,0.65,79.21,265.88
26.83,0.0,0.52,75.72,276.82
27.11,0.0,2.26,74.74,277.04
27.14,0.0,3.67,77.8,238.53
25.77,21.12,3.96,86.35,124.43
26.02,0.0,0.6,83.06,205.67
26.75,0.0,1.01,80.71,244.09
27.08,2.49,1.22,79.3,250.4
26.73,5.97,0.77,81.51,195.43
26.87,0.0,0.94,79.39,231.53
26.77,6.65,1.12,80.42,194.73
26.94,6.65,0.56,78.79,249.28
27.28,0.0,2.25,78.38,246.03
27.48,0.0,1.91,73.13,279.2
27.53,0.0,2.94,75.4,253.42
